org.argouml.core.propertypanels.ui.UMLGeneralizationPowertypeComboBoxModel.ActionSetGeneralizationPowertype	public void actionPerformed(java.awt.event.ActionEvent) 	oldClassifier	B2	1/2
org.argouml.core.propertypanels.ui.UMLMetaClassComboBoxModel.ActionSetTagDefinitionType	public void actionPerformed(java.awt.event.ActionEvent) 	oldType	B1	6/8
org.argouml.core.propertypanels.ui.UMLMetaClassComboBoxModel.ActionSetTagDefinitionType	public void actionPerformed(java.awt.event.ActionEvent) 	oldType	B2	1/2
org.argouml.core.propertypanels.ui.UMLGeneralizationPowertypeComboBoxModel.ActionSetGeneralizationPowertype	public void actionPerformed(java.awt.event.ActionEvent) 	gen	B1	4/6
org.argouml.core.propertypanels.ui.UMLLinkAssociationComboBoxModel.ActionSetLinkAssociation	public void actionPerformed(java.awt.event.ActionEvent) 	link	B1	4/6
org.argouml.core.propertypanels.ui.UMLLinkAssociationComboBoxModel.ActionSetLinkAssociation	public void actionPerformed(java.awt.event.ActionEvent) 	oldAssoc	B1	4/6
org.argouml.core.propertypanels.ui.UMLMetaClassComboBoxModel.ActionSetTagDefinitionType	public void actionPerformed(java.awt.event.ActionEvent) 	tagDef	B1	4/6
org.argouml.core.propertypanels.ui.UMLMethodSpecificationComboBoxModel.ActionSetMethodSpecification	public void actionPerformed(java.awt.event.ActionEvent) 	oldOperation	B1	7/9
org.argouml.core.propertypanels.ui.UMLMethodSpecificationComboBoxModel.ActionSetMethodSpecification	public void actionPerformed(java.awt.event.ActionEvent) 	oldOperation	B2	4/5
org.argouml.core.propertypanels.ui.UMLMethodSpecificationComboBoxModel.ActionSetMethodSpecification	public void actionPerformed(java.awt.event.ActionEvent) 	oldOperation	B3	1/2
org.argouml.core.propertypanels.ui.UMLMethodSpecificationComboBoxModel.ActionSetMethodSpecification	public void actionPerformed(java.awt.event.ActionEvent) 	method	B1	5/7
org.argouml.core.propertypanels.ui.UMLMethodSpecificationComboBoxModel.ActionSetMethodSpecification	public void actionPerformed(java.awt.event.ActionEvent) 	method	B2	3/4
org.argouml.core.propertypanels.model.GetterSetterManagerImpl.DeferrableEventGetterSetter.AddCommand	protected void doIt(Collection#RAW) 	oldOnes	B1	4/5
org.argouml.core.propertypanels.model.MetaDataCache	private void populateClassMaps(org.w3c.dom.Element, Map<Class<?>,java.lang.String>, Map<java.lang.String,Class<?>>) 	metaTypeByName	B1	7/8
org.argouml.core.propertypanels.model.MetaDataCache	private void populateClassMaps(org.w3c.dom.Element, Map<Class<?>,java.lang.String>, Map<java.lang.String,Class<?>>) 	metaTypeByName	B2	6/7
org.argouml.core.propertypanels.model.MetaDataCache	private void populateClassMaps(org.w3c.dom.Element, Map<Class<?>,java.lang.String>, Map<java.lang.String,Class<?>>) 	metaTypeByName	B3	5/6
org.argouml.core.propertypanels.model.MetaDataCache	private void populateClassMaps(org.w3c.dom.Element, Map<Class<?>,java.lang.String>, Map<java.lang.String,Class<?>>) 	nameByMetaType	B1	7/8
org.argouml.core.propertypanels.model.MetaDataCache	private void populateClassMaps(org.w3c.dom.Element, Map<Class<?>,java.lang.String>, Map<java.lang.String,Class<?>>) 	nameByMetaType	B2	6/7
org.argouml.core.propertypanels.model.MetaDataCache	private void populateClassMaps(org.w3c.dom.Element, Map<Class<?>,java.lang.String>, Map<java.lang.String,Class<?>>) 	nameByMetaType	B3	5/6
