installer.VariableGridLayout	private java.awt.Dimension getLayoutSize(java.awt.Container, int) 	w	B14	0/15
org.gjt.sp.jedit.gui.VariableGridLayout	private java.awt.Dimension getLayoutSize(java.awt.Container, int) 	w	B2	0/17
org.gjt.sp.jedit.gui.VariableGridLayout	private java.awt.Dimension getLayoutSize(java.awt.Container, int) 	w	B12	0/17
org.gjt.sp.jedit.gui.VariableGridLayout	private java.awt.Dimension getLayoutSize(java.awt.Container, int) 	w	B13	0/16
org.gjt.sp.jedit.gui.VariableGridLayout	private java.awt.Dimension getLayoutSize(java.awt.Container, int) 	w	B14	0/15
org.gjt.sp.jedit.textarea.JEditTextArea	public void selectParagraph() 	start	B3	0/17
org.gjt.sp.jedit.textarea.JEditTextArea	public void selectParagraph() 	start	B4	0/15
org.gjt.sp.jedit.jEdit	public static boolean closeAllBuffers(org.gjt.sp.jedit.View, boolean) 	buffer	B8	0/17
org.gjt.sp.jedit.jEdit	public static boolean closeAllBuffers(org.gjt.sp.jedit.View, boolean) 	buffer	B11	0/17
org.gjt.sp.jedit.jEdit	public static boolean closeAllBuffers(org.gjt.sp.jedit.View, boolean) 	buffer	B13	0/16
org.gjt.sp.jedit.jEdit	public static boolean closeAllBuffers(org.gjt.sp.jedit.View, boolean) 	buffer	B14	0/12
org.gjt.sp.jedit.textarea.JEditTextArea	public void selectParagraph() 	end	B3	0/17
org.gjt.sp.jedit.textarea.JEditTextArea	public void selectParagraph() 	end	B4	0/15
org.gjt.sp.jedit.textarea.JEditTextArea	public void selectParagraph() 	end	B8	0/11
org.gjt.sp.jedit.gui.PanelWindowContainer	public void register(org.gjt.sp.jedit.gui.DockableWindowManager.Entry) 	button	B1	0/17
org.gjt.sp.jedit.gui.PanelWindowContainer	public void register(org.gjt.sp.jedit.gui.DockableWindowManager.Entry) 	button	B8	0/9
org.gjt.sp.jedit.jEdit	public static boolean closeAllBuffers(org.gjt.sp.jedit.View, boolean) 	view	B8	0/17
org.gjt.sp.jedit.jEdit	public static boolean closeAllBuffers(org.gjt.sp.jedit.View, boolean) 	view	B11	0/17
org.gjt.sp.jedit.jEdit	public static boolean closeAllBuffers(org.gjt.sp.jedit.View, boolean) 	view	B13	0/16
org.gjt.sp.jedit.jEdit	public static boolean closeAllBuffers(org.gjt.sp.jedit.View, boolean) 	view	B14	0/12
org.gjt.sp.jedit.jEdit	public static boolean closeAllBuffers(org.gjt.sp.jedit.View, boolean) 	view	B20	0/2
org.gjt.sp.jedit.textarea.JEditTextArea	public void selectParagraph() 	s	B3	0/17
org.gjt.sp.jedit.textarea.JEditTextArea	public void selectParagraph() 	s	B4	0/15
org.gjt.sp.jedit.textarea.JEditTextArea	public void selectParagraph() 	s	B8	0/11
org.gjt.sp.jedit.textarea.JEditTextArea	public void selectParagraph() 	s	B12	0/7
org.gjt.sp.jedit.textarea.JEditTextArea	public void deleteLine() 	buffer	B3	0/16
org.gjt.sp.jedit.textarea.JEditTextArea	public void deleteLine() 	chunkCache	B3	0/16
org.gjt.sp.jedit.textarea.JEditTextArea	public void deleteLine() 	end	B3	0/16
org.objectweb.asm.CodeWriter	public void visitJumpInsn(int, org.objectweb.asm.Label) 	label	B1	0/16
installer.VariableGridLayout	private java.awt.Dimension getLayoutSize(java.awt.Container, int) 	h	B2	0/16
installer.VariableGridLayout	private java.awt.Dimension getLayoutSize(java.awt.Container, int) 	h	B3	0/15
installer.VariableGridLayout	private java.awt.Dimension getLayoutSize(java.awt.Container, int) 	h	B4	0/14
org.gjt.sp.jedit.gui.VariableGridLayout	private java.awt.Dimension getLayoutSize(java.awt.Container, int) 	h	B2	0/16
org.gjt.sp.jedit.gui.VariableGridLayout	private java.awt.Dimension getLayoutSize(java.awt.Container, int) 	h	B3	0/15
org.gjt.sp.jedit.gui.VariableGridLayout	private java.awt.Dimension getLayoutSize(java.awt.Container, int) 	h	B4	0/14
org.gjt.sp.jedit.browser.VFSDirectoryEntryTable	private void resizeColumnsAppropriately() 	widths	B1	0/16
org.gjt.sp.jedit.browser.VFSDirectoryEntryTable	private void resizeColumnsAppropriately() 	widths	B2	0/13
org.objectweb.asm.CodeWriter	public void visitJumpInsn(int, org.objectweb.asm.Label) 	code	B1	0/16
org.objectweb.asm.CodeWriter	public void visitJumpInsn(int, org.objectweb.asm.Label) 	code	B6	0/11
org.objectweb.asm.CodeWriter	public void visitJumpInsn(int, org.objectweb.asm.Label) 	code	B15	0/11
org.gjt.sp.jedit.textarea.JEditTextArea	public void deleteLine() 	displayManager	B3	0/16
org.gjt.sp.jedit.textarea.JEditTextArea	public void deleteLine() 	displayManager	B7	0/8
org.gjt.sp.jedit.textarea.JEditTextArea	public void deleteLine() 	start	B3	0/16
org.gjt.sp.jedit.textarea.JEditTextArea	public void deleteLine() 	start	B4	0/2
org.gjt.sp.jedit.ModeCatalogHandler	public void endElement(java.lang.String) 	mode	B2	0/16
org.objectweb.asm.CodeWriter	public void visitFieldInsn(int, java.lang.String, java.lang.String, java.lang.String) 	size	B2	0/16
org.gjt.sp.jedit.textarea.DisplayManager.BufferChangeHandler	public void contentRemoved(org.gjt.sp.jedit.Buffer, int, int, int, int) 	i	B4	0/16
bsh.BSHLiteral	void stringSetup(java.lang.String) 	buffer	B2	0/15
installer.CBZip2InputStream	private void hbCreateDecodeTables(int[], int[], int[], char[], int, int, int) 	base	B1	0/15
installer.CBZip2InputStream	private void hbCreateDecodeTables(int[], int[], int[], char[], int, int, int) 	base	B2	0/15
installer.CBZip2InputStream	private void hbCreateDecodeTables(int[], int[], int[], char[], int, int, int) 	base	B6	0/15
org.gjt.sp.jedit.Buffer	public void addMarker(char, int) 	i	B2	0/15
org.gjt.sp.jedit.Buffer	public void addMarker(char, int) 	i	B4	0/15
org.gjt.sp.jedit.Buffer	public void addMarker(char, int) 	i	B5	0/15
org.gjt.sp.jedit.syntax.DisplayTokenHandler	private org.gjt.sp.jedit.syntax.Chunk merge(org.gjt.sp.jedit.syntax.Chunk, javax.swing.text.Segment) 	chunk	B1	0/15
org.gjt.sp.jedit.syntax.DisplayTokenHandler	private org.gjt.sp.jedit.syntax.Chunk merge(org.gjt.sp.jedit.syntax.Chunk, javax.swing.text.Segment) 	chunk	B3	0/15
org.gjt.sp.jedit.syntax.DisplayTokenHandler	private org.gjt.sp.jedit.syntax.Chunk merge(org.gjt.sp.jedit.syntax.Chunk, javax.swing.text.Segment) 	chunk	B1	0/15
org.gjt.sp.jedit.syntax.DisplayTokenHandler	private org.gjt.sp.jedit.syntax.Chunk merge(org.gjt.sp.jedit.syntax.Chunk, javax.swing.text.Segment) 	chunk	B3	0/15
org.gjt.sp.jedit.syntax.DisplayTokenHandler	private org.gjt.sp.jedit.syntax.Chunk merge(org.gjt.sp.jedit.syntax.Chunk, javax.swing.text.Segment) 	chunk	B4	0/14
org.gjt.sp.jedit.textarea.JEditTextArea	void recalculateVisibleLines() 	chunkCache	B1	0/15
org.gjt.sp.jedit.textarea.JEditTextArea	void recalculateVisibleLines() 	chunkCache	B3	0/15
org.gjt.sp.jedit.textarea.JEditTextArea	void recalculateVisibleLines() 	chunkCache	B9	0/4
org.gjt.sp.jedit.textarea.JEditTextArea	void recalculateVisibleLines() 	displayManager	B1	0/15
org.gjt.sp.jedit.textarea.JEditTextArea	void recalculateVisibleLines() 	displayManager	B3	0/15
org.gjt.sp.jedit.textarea.JEditTextArea	void recalculateVisibleLines() 	displayManager	B9	0/4
org.gjt.sp.jedit.textarea.JEditTextArea	void recalculateVisibleLines() 	displayManager	B10	0/2
org.gjt.sp.jedit.Registers	public static void paste(org.gjt.sp.jedit.textarea.JEditTextArea, char, boolean) 	buffer	B8	0/15
org.gjt.sp.jedit.Buffer	public void toggleLineSeparator(org.gjt.sp.jedit.View) 	status	B1	0/14
org.gjt.sp.jedit.gui.GrabKeyDialog	public static java.lang.String toString(java.awt.event.KeyEvent) 	id	B1	0/14
org.gjt.sp.jedit.gui.StatusBar	public void updateBufferStatus() 	buf	B15	0/14
org.gjt.sp.jedit.gui.StatusBar	public void updateBufferStatus() 	buf	B16	0/13
org.gjt.sp.jedit.gui.StatusBar	public void updateBufferStatus() 	mode	B15	0/14
org.gjt.sp.jedit.gui.StatusBar	public void updateBufferStatus() 	mode	B16	0/13
org.objectweb.asm.ByteVector	public org.objectweb.asm.ByteVector put8(long) 	length	B1	0/14
